"lat" "lon" "sal" "temp"
-60.32559 170.15049 -0.11646325 0.08043256
-60.214 168.551 -0.0829063 -0.7925485
-60.194 161.609 0.156954 0.37855443
-60.19055 168.14062 -0.049378718 -0.85943677
-60.15804 167.87628 -0.053401208 -0.34807408
-60.11684 167.58545 -0.059010599 -0.24992304
-59.81979 162.91169 0.04359307 0.28150293
-59.792 162.98 -0.14668183 0.27819603
-59.737 160.96 0.1873808 0.4392642
-59.487 164.708 -0.08984153 -0.60262561
-59.45332 162.29093 -0.010746574 0.12279292
-59.336 162.999 -0.0037800418 0.70985668
-59.2366 170.2736 -0.21963373 -1.7520682
-58.96502 169.86764 -0.063811436 -0.99869576
-58.819 161.94198 0.15475711 0.35423129
-58.71894 169.11644 -0.076279329 -0.92024114
-58.597 171.59 0.25271211 2.9865201
-58.55472 168.313 -0.074240248 -0.70002948
-58.358 167.349 0.048565261 2.0410173
-57.74388 168.15511 0.28542003 3.0440846
-57.716 163.365 0.01702472 -0.52167662
-57.697 162.227 0.038524385 -0.19795583
-57.52625 168.17376 0.27287805 2.9716915
-57.31311 168.22651 0.30794844 3.1731567
-57.216 174.765 0.020789135 0.38687168
-57.187 174.002 -0.015428162 0.31756615
-57.14808 172.12655 0.30071019 3.030488
-57.1023 168.37312 0.29699259 3.1162386
-56.993 168.694 0.18657175 1.5497389
-56.97 173.182 -0.011467175 0.19948748
-56.71 175.167 -0.0073042115 0.32415815
-56.258 164.117 -0.029664852 1.2440628
-55.948 174.334 0.028205359 -0.1318136
-55.601 169.356 -0.11210905 -1.2562257
-55.586 175.028 0.017472071 0.4077631
-54.712007 170.08926 0.073592059 0.78196344
-54.483 175.032 -0.019638312 0.037326957
-54.46 173.23 -0.083919446 -0.66179314
-54.127 160.566 -0.16941578 0.27339233
-53.892 161.785 -0.04679227 0.90666747
-53.842 163.92 0.12612224 1.4738636
-53.538412 166.3016 -0.064989229 -0.48383196
-53.499732 163.31146 0.13158972 1.4941676
-53.432105 165.5719 0.093910363 0.62132202
-53.404877 164.50062 0.12231545 1.0855472
-53.348 163.155 0.1221439 1.4103262
-53.151172 163.0495 0.15151508 1.6353717
-52.964 163.062 0.080215867 0.66275608
-52.505643 174.57678 0.14106064 1.7006488
-51.747 179.686 -0.028138867 -0.17084506
-51.263 179.874 0.001245889 0.10702505
-51.093 179.875 -0.024213148 -0.12463878
-50.90571 176.26048 -0.025955208 0.22362005
-50.734 163.551 -0.012128961 -0.19033499
-50.73118 175.28157 0.058749808 0.91510089
-50.706 164.078 -0.094918692 -0.7622746
-50.663 164.156 -0.047219811 -0.62267386
-50.391 176.041 0.097924651 1.1960655
-50.368148 177.40618 -0.073378967 -0.063932831
-50.31277 175.09956 0.098704811 1.2715083
-50.207 176.181 0.19147044 1.7299366
-50.02265 178.20576 0.089556164 1.0114726
-64.803 160.629 -0.029952962 -0.19512784
-64.781 160.413 -0.074809817 -0.37034249
-64.729 160.895 -0.049607139 -0.41709574
-64.627 160.831 -0.013771019 -0.021257593
-64.20632 165.72026 0.0034035741 0.15132651
-64.2042 177.43768 -0.020921893 0.059169384
